day	hour	value
1	1	10
2	1	10
3	1	10
4	1	9
5	1	8
6	1	8
7	1	8
8	1	8
9	1	7
10	1	7
11	1	7
12	1	7
13	1	7
14	1	7
15	1	7
16	1	7
17	1	7
18	1	7
19	1	7
20	1	6
21	1	6
22	1	6
23	1	6
24	1	6
25	1	6
26	1	6
27	1	6
28	1	6
29	1	6
30	1	6
31	1	6
32	1	6
1	2	6
2	2	6
3	2	6
4	2	6
5	2	6
6	2	6
7	2	6
8	2	6
9	2	6
10	2	6
11	2	6
12	2	6
13	2	5
14	2	5
15	2	5
16	2	5
17	2	5
18	2	5
19	2	5
20	2	5
21	2	5
22	2	5
23	2	5
24	2	5
25	2	5
26	2	5
27	2	5
28	2	5
29	2	5
30	2	5
31	2	5
32	2	5
1	3	5
2	3	5
3	3	5
4	3	5
5	3	5
6	3	5
7	3	5
8	3	5
9	3	5
10	3	5
11	3	5
12	3	5
13	3	5
14	3	5
15	3	5
16	3	5
17	3	5
18	3	5
19	3	5
20	3	5
21	3	5
22	3	5
23	3	5
24	3	5
25	3	5
26	3	5
27	3	5
28	3	5
29	3	5
30	3	5
31	3	5
32	3	5
1	4	5
2	4	5
3	4	5
4	4	5
5	4	5
6	4	5
7	4	5
8	4	5
9	4	5
10	4	5
11	4	5
12	4	5
13	4	5
14	4	5
15	4	5
16	4	5
17	4	5
18	4	5
19	4	5
20	4	5
21	4	5
22	4	5
23	4	5
24	4	5
25	4	5
26	4	5
27	4	5
28	4	5
29	4	5
30	4	5
31	4	5
32	4	4
1	5	4
2	5	4
3	5	4
4	5	4
5	5	4
6	5	4
7	5	4
8	5	4
9	5	4
10	5	4
11	5	4
12	5	4
13	5	4
14	5	4
15	5	4
16	5	4
17	5	4
18	5	4
19	5	4
20	5	4
21	5	4
22	5	4
23	5	4
24	5	4
25	5	4
26	5	4
27	5	4
28	5	4
29	5	4
30	5	4
31	5	4
32	5	4
1	6	4
2	6	4
3	6	4
4	6	4
5	6	4
6	6	4
7	6	4
8	6	4
9	6	4
10	6	4
11	6	4
12	6	4
13	6	4
14	6	4
15	6	4
16	6	4
17	6	4
18	6	4
19	6	4
20	6	4
21	6	4
22	6	4
23	6	4
24	6	4
25	6	4
26	6	4
27	6	4
28	6	4
29	6	4
30	6	4
31	6	4
32	6	4
1	7	4
2	7	4
3	7	4
4	7	4
5	7	4
6	7	4
7	7	4
8	7	4
9	7	4
10	7	4
11	7	4
12	7	4
13	7	4
14	7	4
15	7	4
16	7	4
17	7	4
18	7	4
19	7	4
20	7	4
21	7	4
22	7	4
23	7	4
24	7	4
25	7	4
26	7	4
27	7	4
28	7	4
29	7	4
30	7	4
31	7	4
32	7	4
1	8	4
2	8	4
3	8	4
4	8	4
5	8	4
6	8	4
7	8	4
8	8	4
9	8	4
10	8	4
11	8	4
12	8	4
13	8	4
14	8	4
15	8	4
16	8	4
17	8	4
18	8	4
19	8	4
20	8	4
21	8	4
22	8	4
23	8	4
24	8	4
25	8	4
26	8	4
27	8	3
28	8	3
29	8	3
30	8	3
31	8	3
32	8	3
1	9	3
2	9	3
3	9	3
4	9	3
5	9	3
6	9	3
7	9	3
8	9	3
9	9	3
10	9	3
11	9	3
12	9	3
13	9	3
14	9	3
15	9	3
16	9	3
17	9	3
18	9	3
19	9	3
20	9	3
21	9	3
22	9	3
23	9	3
24	9	3
25	9	3
26	9	3
27	9	3
28	9	3
29	9	3
30	9	3
31	9	3
32	9	3
1	10	3
2	10	3
3	10	3
4	10	3
5	10	3
6	10	3
7	10	3
8	10	3
9	10	3
10	10	3
11	10	3
12	10	3
13	10	3
14	10	3
15	10	3
16	10	3
17	10	3
18	10	3
19	10	3
20	10	3
21	10	3
22	10	3
23	10	3
24	10	3
25	10	3
26	10	3
27	10	3
28	10	3
29	10	3
30	10	3
31	10	3
32	10	3
1	11	3
2	11	3
3	11	3
4	11	3
5	11	3
6	11	3
7	11	3
8	11	3
9	11	3
10	11	3
11	11	3
12	11	3
13	11	3
14	11	3
15	11	3
16	11	3
17	11	3
18	11	3
19	11	3
20	11	3
21	11	3
22	11	3
23	11	3
24	11	3
25	11	3
26	11	3
27	11	3
28	11	3
29	11	3
30	11	3
31	11	3
32	11	3
1	12	3
2	12	3
3	12	3
4	12	3
5	12	3
6	12	3
7	12	3
8	12	3
9	12	3
10	12	3
11	12	3
12	12	3
13	12	3
14	12	3
15	12	3
16	12	3
17	12	3
18	12	3
19	12	3
20	12	3
21	12	3
22	12	3
23	12	3
24	12	3
25	12	3
26	12	3
27	12	3
28	12	3
29	12	3
30	12	3
31	12	3
32	12	3
1	13	3
2	13	3
3	13	3
4	13	3
5	13	3
6	13	3
7	13	3
8	13	3
9	13	3
10	13	3
11	13	3
12	13	3
13	13	3
14	13	3
15	13	3
16	13	3
17	13	3
18	13	3
19	13	3
20	13	3
21	13	3
22	13	3
23	13	3
24	13	3
25	13	3
26	13	3
27	13	3
28	13	3
29	13	3
30	13	3
31	13	3
32	13	3
1	14	3
2	14	3
3	14	3
4	14	3
5	14	3
6	14	3
7	14	3
8	14	3
9	14	3
10	14	3
11	14	3
12	14	3
13	14	3
14	14	3
15	14	3
16	14	3
17	14	3
18	14	3
19	14	3
20	14	3
21	14	3
22	14	3
23	14	3
24	14	3
25	14	3
26	14	3
27	14	3
28	14	3
29	14	3
30	14	3
31	14	3
32	14	3
1	15	3
2	15	3
3	15	3
4	15	3
5	15	3
6	15	3
7	15	3
8	15	3
9	15	3
10	15	3
11	15	3
12	15	3
13	15	3
14	15	3
15	15	3
16	15	3
17	15	3
18	15	3
19	15	3
20	15	3
21	15	3
22	15	3
23	15	3
24	15	3
25	15	3
26	15	2
27	15	2
28	15	2
29	15	2
30	15	2
31	15	2
32	15	2
1	16	2
2	16	2
3	16	2
4	16	2
5	16	2
6	16	2
7	16	2
8	16	2
9	16	2
10	16	2
11	16	2
12	16	2
13	16	2
14	16	2
15	16	2
16	16	2
17	16	2
18	16	2
19	16	2
20	16	2
21	16	2
22	16	2
23	16	2
24	16	2
25	16	2
26	16	2
27	16	2
28	16	2
29	16	2
30	16	2
31	16	2
32	16	2
1	17	2
2	17	2
3	17	2
4	17	2
5	17	2
6	17	2
7	17	2
8	17	2
9	17	2
10	17	2
11	17	2
12	17	2
13	17	2
14	17	2
15	17	2
16	17	2
17	17	2
18	17	2
19	17	2
20	17	2
21	17	2
22	17	2
23	17	2
24	17	2
25	17	2
26	17	2
27	17	2
28	17	2
29	17	2
30	17	2
31	17	2
32	17	2
1	18	2
2	18	2
3	18	2
4	18	2
5	18	2
6	18	2
7	18	2
8	18	2
9	18	2
10	18	2
11	18	2
12	18	2
13	18	2
14	18	2
15	18	2
16	18	2
17	18	2
18	18	2
19	18	2
20	18	2
21	18	2
22	18	2
23	18	2
24	18	2
25	18	2
26	18	2
27	18	2
28	18	2
29	18	2
30	18	2
31	18	2
32	18	2
1	19	2
2	19	2
3	19	2
4	19	2
5	19	2
6	19	2
